BillNo,Itemname,Quantity,Date,Price,CustomerID,Country,Year,Month,Total_price
539993,JUMBO BAG PINK POLKADOT,10,04.01.2011 10:00,1.95,13313,United Kingdom,2011,1,19.5
539993,BLUE POLKADOT WRAP,25,04.01.2011 10:00,0.42,13313,United Kingdom,2011,1,10.5
539993,RED RETROSPOT WRAP,25,04.01.2011 10:00,0.42,13313,United Kingdom,2011,1,10.5
539993,RECYCLING BAG RETROSPOT,5,04.01.2011 10:00,2.1,13313,United Kingdom,2011,1,10.5
539993,RED RETROSPOT SHOPPER BAG,10,04.01.2011 10:00,1.25,13313,United Kingdom,2011,1,12.5
539993,JUMBO BAG RED RETROSPOT,10,04.01.2011 10:00,1.95,13313,United Kingdom,2011,1,19.5
539993,RED RETROSPOT CHILDRENS UMBRELLA,6,04.01.2011 10:00,3.25,13313,United Kingdom,2011,1,19.5
539993,JAM MAKING SET PRINTED,12,04.01.2011 10:00,1.45,13313,United Kingdom,2011,1,17.4
539993,RECIPE BOX RETROSPOT,6,04.01.2011 10:00,2.95,13313,United Kingdom,2011,1,17.7
539993,CHILDRENS APRON APPLES DESIGN,8,04.01.2011 10:00,1.95,13313,United Kingdom,2011,1,15.6
539993,PEG BAG APPLES DESIGN,6,04.01.2011 10:00,2.55,13313,United Kingdom,2011,1,15.3
539993,COFFEE MUG APPLES DESIGN,6,04.01.2011 10:00,2.55,13313,United Kingdom,2011,1,15.3
539993,COFFEE MUG PEARS  DESIGN,6,04.01.2011 10:00,2.55,13313,United Kingdom,2011,1,15.3
539993,WHITE HANGING HEART T-LIGHT HOLDER,12,04.01.2011 10:00,2.95,13313,United Kingdom,2011,1,35.4
539993,SET OF 6 T-LIGHTS EASTER CHICKS,12,04.01.2011 10:00,2.95,13313,United Kingdom,2011,1,35.4
539993,CAST IRON HOOK GARDEN FORK,8,04.01.2011 10:00,2.55,13313,United Kingdom,2011,1,20.4
539993,LOVE HEART NAPKIN BOX,4,04.01.2011 10:00,4.25,13313,United Kingdom,2011,1,17
540001,RED HANGING HEART T-LIGHT HOLDER,32,04.01.2011 10:22,2.55,18097,United Kingdom,2011,1,81.6
540001,CERAMIC BOWL WITH LOVE HEART DESIGN,24,04.01.2011 10:22,2.95,18097,United Kingdom,2011,1,70.8
